grid_id,lat,lon,google_maps_link,forest_pct,ndvi,ndmi,health_class,moisture_class_calibrated,ndvi_trend_class,ndmi_trend_class,ndvi_change_from_365d,ndmi_change_from_365d,hansen_loss_pct,fire_count,fire_detected,repeated_fire_count,repeated_fire_class,final_priority,final_risk_score,ecological_watch_level,chronic_repeated_stress_flag,soilgrids_soc,carbon_engine_version,carbon_engine_run_time,genuine_carbon_score,raw_carbon_score_before_cap,genuine_carbon_class,carbon_recommendation,field_verification_required,genuine_carbon_reason,forest_persistence_component,fris_ecological_component,ndvi_trend_history_component,ndmi_trend_history_component,fire_history_component,hansen_loss_component,soilgrids_soc_component,weight_forest_persistence,weight_fris_ecological_score,weight_ndvi_trend_history,weight_ndmi_trend_history,weight_fire_history,weight_hansen_loss,weight_soilgrids_soc,soilgrids_soc,carbon_stock_ton,carbon_stock_co2e_ton,carbon_change_co2e_ton,forest_area_for_carbon_ha,carbon_claim_status,genuine_carbon_rank
GD-06-29,24.55839025567189,87.39207703435514,"https://www.google.com/maps?q=24.55839025567189,87.39207703435514",92.691582526804,0.7001718571433564,0.2071561150624657,HEALTHY,GOOD_MOISTURE,IMPROVING,STABLE,-0.0077,0.05,0.82,0,False,0,NO_REPEATED_FIRE,LOW,11.28,ROUTINE_MONITORING,False,176.28,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,93.43,93.43,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 93.43/100 (raw score 93.43/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=88.72; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=176.28).,100,88.72,85.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,176.28,3527.966,12935.877,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,1
GD-00-30,24.504491585170893,87.40197795076858,"https://www.google.com/maps?q=24.504491585170893,87.40197795076858",85.47973153521906,0.6386409142352749,0.1707865249771983,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,0.0057,0.0454,0.45,0,False,0,NO_REPEATED_FIRE,LOW,12.54,ROUTINE_MONITORING,False,161.26,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,93.11,93.11,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 93.11/100 (raw score 93.11/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=87.46; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=161.26).,100,87.46,85.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,161.26,3692.241,13538.216,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,2
GD-34-25,24.80991738,87.35247336870118,"https://www.google.com/maps?q=24.809917384671,87.35247336870118",92.97431062088604,0.7053144505195647,0.2303138598971882,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,0.0331,0.1016,0.4,0,False,0,NO_REPEATED_FIRE,LOW,14.4,ROUTINE_MONITORING,False,154.53,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,92.65,92.65,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 92.65/100 (raw score 92.65/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=85.6; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=154.53).,100,85.6,85.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,154.53,2925.201,10725.736,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,3
GD-00-07,24.50449158517264,87.17425687329998,"https://www.google.com/maps?q=24.504491585172637,87.17425687329998",90.96829216,0.6677057187929768,0.1955885768999489,HEALTHY,GOOD_MOISTURE,IMPROVING,STABLE,0.1683,0.025,0.0,0,False,0,NO_REPEATED_FIRE,LOW,9.95,ROUTINE_MONITORING,False,223.56,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,91.76,91.76,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 91.76/100 (raw score 91.76/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=90.05; NDVI Trend History=85.0; NDMI Trend History=65.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=223.56).,100,90.05,85.0,65.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,223.56,4808.284,17630.375,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,4
GD-40-30,24.863816055169043,87.40197795,"https://www.google.com/maps?q=24.863816055169043,87.4019779507565",86.32855363814251,0.677580906,0.2160695338179123,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,-0.0117,0.068,0.0,0,False,0,NO_REPEATED_FIRE,LOW,7.95,ROUTINE_MONITORING,False,184.64,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,91.26,91.26,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 91.26/100 (raw score 91.26/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=92.05; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=184.64).,100,92.05,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,184.64,11615.764,42591.135,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,5
GD-79-43,25.214157413397825,87.53068986408874,"https://www.google.com/maps?q=25.214157413397825,87.53068986408874",97.50693713332994,0.6657197635302411,0.2509399385266529,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,-0.0004,0.0708,0.0,0,False,0,NO_REPEATED_FIRE,LOW,8.16,ROUTINE_MONITORING,False,187.69,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,91.21,91.21,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 91.21/100 (raw score 91.21/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=91.84; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=187.69).,100,91.84,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,187.69,2785.855,10214.802,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,6
GD-80-43,25.22314052514709,87.53068986408834,"https://www.google.com/maps?q=25.223140525147095,87.53068986408834",99.38130626,0.6232887320022084,0.2355168370834292,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,-0.0138,0.0605,0.0,0,False,0,NO_REPEATED_FIRE,LOW,9.21,ROUTINE_MONITORING,False,211.17,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.95,90.95,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.95/100 (raw score 90.95/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=90.79; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=211.17).,100,90.79,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,211.17,2640.118,9680.431,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,7
GD-79-42,25.214157413397967,87.52078894767767,"https://www.google.com/maps?q=25.214157413397967,87.52078894767767",92.11108738969544,0.5925373884065644,0.1963021151149198,MODERATE,GOOD_MOISTURE,STABLE,IMPROVING,-0.006,0.0621,0.0,0,False,0,NO_REPEATED_FIRE,LOW,9.84,ROUTINE_MONITORING,False,187.12,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.79,90.79,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.79/100 (raw score 90.79/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=90.16; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=187.12).,100,90.16,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,187.12,2539.124,9310.121,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,8
GD-34-27,24.80991738,87.37227520152403,"https://www.google.com/maps?q=24.8099173846708,87.37227520152403",98.18352541666088,0.733237799,0.2565456600496714,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,-0.023,0.0732,2.21,0,False,0,NO_REPEATED_FIRE,LOW,13.98,ROUTINE_MONITORING,False,207.92,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.75,90.75,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.75/100 (raw score 90.75/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=86.02; NDVI Trend History=85.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=80; SoilGrids SOC Score=100 (soilgrids_soc=207.92).,100,86.02,85.0,85.0,100,80,100,25%,25%,15%,10%,10%,10%,5%,207.92,2798.639,10261.677,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,9
GD-06-30,24.558390255671775,87.40197795076678,"https://www.google.com/maps?q=24.558390255671778,87.40197795076678",95.89894890551464,0.7168069926978862,0.2374061765906938,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,-0.0218,0.0515,0.94,0,False,0,NO_REPEATED_FIRE,LOW,10.11,ROUTINE_MONITORING,False,180.98,FRIS_CARBON_GENUINE_ENGINE_V5_SOILGRIDS_SOC,2026-06-04 18:45:00 IST,90.72,90.72,CARBON_RECOVERY_OPPORTUNITY,Prioritize for restoration or CSR carbon planning after field verification.,YES,CARBON_RECOVERY_OPPORTUNITY: final score 90.72/100 (raw score 90.72/100 before hard-condition cap) | Forest Persistence=100; FRIS Ecological Score=89.89; NDVI Trend History=65.0; NDMI Trend History=85.0; Fire History=100; Hansen Loss Control=100; SoilGrids SOC Score=100 (soilgrids_soc=180.98).,100,89.89,65.0,85.0,100,100,100,25%,25%,15%,10%,10%,10%,5%,180.98,4171.002,15293.673,0.0,100.0,NOT_CERTIFIED_CARBON_CREDIT__PLANNING_MRV_SUPPORT_ONLY,10
